,classic,comedy,drama,family,fringe,stand-up,politics,dark,musical
El Rey Leon,1,,,1,,,,,1
El Fantasma De La Opera,1,,1,,,1,1,,1
Algo Pasa Con Pepi,,1,,,1,1,,,
#Puertasabiertas,,,1,,,,,1,
ASALTO A LA SEDE. UNA COMEDIA DESASTROSAMENTE DIVERTIDA - Entradas,,1,,1,,,1,,
A Margarita,,1,,,1,1,,,
Acampada,,,1,,,,,1,
Billy Elliot,1,,1,,1,,,1,1
"AGUA, AZUCARILLO Y AGUARDIENTE",1,1,1,1,,,,,
"Carne Cruda, que no te lo cuenten",,1,,1,,,,,
Doña Rosita la soltera,,,1,1,,,1,,
No Mas Besos,,,1,1,1,,,,
 Coriolanus,1,,1,,1,,1,1,
JUGUETES ROTOS,,,1,,1,,,1,
"Adiós Arturo, La Cubana",,1,,,,,,1,1
"Anastasia, el Musical ",1,,1,1,,,,,1
"Dream Drag, Los Sueños de Freud",,,1,,1,,,1,1
"Sergio Fernández ""El Monaguillo"" ¿Sólo lo veo yo?",,1,,,,1,,1,
Bella y Bestia,1,,1,1,1,,,,1
Tirant,,,,,1,,1,1,
